,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,home.dest
177,1,1,0,42.0,1,0,316,52.5542,164,3,23,194
178,1,1,1,45.0,1,0,316,52.5542,164,3,23,194
179,1,0,0,0.0,0,0,118,26.55,13,3,0,244
180,1,1,1,39.0,0,0,13,211.3375,0,3,18,0
181,1,1,1,49.0,0,0,794,25.9292,151,3,13,33
182,1,1,1,30.0,0,0,348,106.425,0,1,18,0
183,1,1,0,35.0,0,0,4,512.3292,110,1,4,0
184,1,0,0,0.0,0,0,374,27.7208,0,1,0,350
185,1,0,0,42.0,0,0,454,26.55,0,3,0,46
186,1,1,1,55.0,0,0,360,27.7208,0,1,19,46
187,1,1,1,16.0,0,1,582,39.4,9,3,8,318
188,1,1,1,51.0,0,1,582,39.4,9,3,8,318
189,1,0,0,29.0,0,0,768,30.0,173,3,0,44
190,1,1,1,21.0,0,0,361,77.9583,109,3,17,229
191,1,0,0,30.0,0,0,541,45.5,0,3,0,18
192,1,1,1,58.0,0,0,589,146.5208,144,1,0,0
193,1,1,1,15.0,0,1,13,211.3375,50,3,18,207
194,1,0,0,30.0,0,0,410,26.0,54,3,0,106
195,1,1,1,16.0,0,0,24,86.5,146,3,13,0
196,1,1,0,0.0,0,0,753,29.7,143,1,15,318
197,1,0,0,19.0,1,0,185,53.1,156,3,0,33
198,1,1,1,18.0,1,0,185,53.1,156,3,17,33
199,1,1,1,24.0,0,0,893,49.5042,134,1,19,225
200,1,0,0,46.0,0,0,840,75.2417,85,1,0,329
201,1,0,0,54.0,0,0,274,51.8625,51,3,0,54
202,1,1,0,36.0,0,0,734,26.2875,6,3,15,303
203,1,0,0,28.0,1,0,516,82.1708,0,1,0,33
204,1,1,1,0.0,1,0,516,82.1708,0,1,19,33
205,1,0,0,65.0,0,0,552,26.55,76,3,0,197
206,1,0,0,44.0,2,0,420,90.0,114,2,0,132
207,1,1,1,33.0,1,0,420,90.0,114,2,2,165
208,1,1,1,37.0,1,0,420,90.0,114,2,2,132
209,1,1,0,30.0,1,0,769,57.75,114,1,21,33
210,1,0,0,55.0,0,0,434,30.5,79,3,0,180
211,1,0,0,47.0,0,0,126,42.4,0,3,0,148
212,1,0,0,37.0,0,1,533,29.7,4,1,0,116
213,1,1,1,31.0,1,0,226,113.275,120,1,19,246
214,1,1,1,23.0,1,0,226,113.275,120,1,19,246
215,1,0,0,58.0,0,2,226,113.275,170,1,0,246
216,1,1,1,19.0,0,2,146,26.2833,23,3,23,33
217,1,0,0,64.0,0,0,775,26.0,0,3,0,131
218,1,1,1,39.0,0,0,575,108.9,94,1,13,0
219,1,1,0,0.0,0,0,385,25.7417,0,1,15,318
220,1,1,1,22.0,0,1,788,61.9792,177,1,23,367
221,1,0,0,65.0,0,1,788,61.9792,126,1,0,367
222,1,0,0,28.5,0,0,831,27.7208,140,1,0,202
223,1,0,0,0.0,0,0,243,0.0,0,3,0,299
224,1,0,0,45.5,0,0,472,28.5,13,3,0,339
225,1,0,0,23.0,0,0,515,93.5,90,3,0,180
226,1,0,0,29.0,1,0,475,66.6,103,3,0,107
227,1,1,1,22.0,1,0,475,66.6,103,3,13,107
228,1,0,0,18.0,1,0,575,108.9,169,1,0,151
229,1,1,1,17.0,1,0,575,108.9,169,1,13,151
230,1,1,1,30.0,0,0,515,93.5,102,3,4,0
231,1,1,0,52.0,0,0,567,30.5,130,3,19,189
232,1,0,0,47.0,0,0,59,52.0,8,3,0,293
233,1,1,1,56.0,0,1,783,83.1583,161,1,15,248
234,1,0,0,38.0,0,0,220,0.0,0,3,0,124
235,1,1,0,0.0,0,0,874,39.6,0,3,25,94
236,1,0,0,22.0,0,0,673,135.6333,0,1,0,0
237,1,0,0,0.0,0,0,366,227.525,0,1,0,0
238,1,1,1,43.0,0,1,13,211.3375,26,3,18,207
239,1,0,0,31.0,0,0,837,50.4958,39,3,0,289
240,1,1,0,45.0,0,0,597,26.55,0,3,8,33
241,1,0,0,0.0,0,0,603,50.0,29,3,0,301
242,1,1,1,33.0,0,0,625,27.7208,3,1,21,318
243,1,0,0,46.0,0,0,137,79.2,0,1,0,33
244,1,0,0,36.0,0,0,832,40.125,163,1,0,308
245,1,1,1,33.0,0,0,24,86.5,15,3,13,69
246,1,0,0,55.0,1,0,744,59.4,0,1,0,33
247,1,1,1,54.0,1,0,744,59.4,0,1,19,33
248,1,0,0,33.0,0,0,56,26.55,0,3,0,237
249,1,1,0,13.0,2,2,719,262.375,19,1,5,319
250,1,1,1,18.0,2,2,719,262.375,19,1,5,319
251,1,1,1,21.0,2,2,719,262.375,19,1,5,319
252,1,0,0,61.0,1,3,719,262.375,19,1,0,319
253,1,1,1,48.0,1,3,719,262.375,19,1,5,319
254,1,1,0,0.0,0,0,210,30.5,54,3,4,364
255,1,1,1,24.0,0,0,18,69.3,47,1,8,0
256,1,1,0,0.0,0,0,269,26.0,0,3,20,33
257,1,1,1,35.0,1,0,769,57.75,149,1,21,33
258,1,1,1,30.0,0,0,663,31.0,0,1,5,0
259,1,1,0,34.0,0,0,490,26.55,0,3,15,33
260,1,1,1,40.0,0,0,335,153.4625,141,3,4,351
261,1,1,0,35.0,0,0,558,26.2875,61,3,23,207
262,1,0,0,50.0,1,0,27,55.9,150,3,0,282
263,1,1,1,39.0,1,0,27,55.9,150,3,21,282
264,1,1,0,56.0,0,0,443,35.5,123,1,4,253
265,1,1,0,28.0,0,0,336,35.5,132,3,15,187
266,1,0,0,56.0,0,0,754,26.55,0,3,0,33
267,1,0,0,56.0,0,0,405,30.6958,45,1,0,311
268,1,0,0,24.0,1,0,463,60.0,176,3,0,306
269,1,0,0,0.0,0,0,90,26.0,162,3,0,205
270,1,1,1,18.0,1,0,463,60.0,176,3,19,306
271,1,1,0,24.0,1,0,415,82.2667,7,3,15,62
272,1,1,1,23.0,1,0,415,82.2667,7,3,15,62
273,1,1,0,6.0,0,2,657,134.5,139,1,4,34
274,1,1,0,45.0,1,1,657,134.5,139,1,4,34
275,1,1,1,40.0,1,1,657,134.5,139,1,4,34
276,1,0,0,57.0,1,0,589,146.5208,11,1,0,318
277,1,1,1,0.0,1,0,589,146.5208,11,1,19,318
278,1,1,0,32.0,0,0,3,30.5,80,1,4,253
279,1,0,0,62.0,0,0,279,26.55,5,3,0,104
280,1,1,0,54.0,1,0,278,55.4417,171,1,20,9
281,1,1,1,43.0,1,0,278,55.4417,171,1,23,9
282,1,1,1,52.0,1,0,236,78.2667,145,1,5,200
283,1,0,0,0.0,0,0,448,27.7208,0,1,0,317
284,1,1,1,62.0,0,0,880,80.0,122,0,19,95
285,1,0,0,67.0,1,0,580,221.7792,180,3,0,33
286,1,0,1,63.0,1,0,580,221.7792,180,3,0,33
287,1,0,0,61.0,0,0,375,32.3208,16,3,0,67
288,1,1,1,48.0,0,0,191,25.9292,151,3,13,116
289,1,1,1,18.0,0,2,855,79.65,98,3,13,33
290,1,0,0,52.0,1,1,855,79.65,34,3,0,33
291,1,1,1,39.0,1,1,855,79.65,34,3,13,33
292,1,1,0,48.0,1,0,386,52.0,67,3,16,129
293,1,1,1,0.0,1,0,386,52.0,67,3,16,129
294,1,0,0,49.0,1,1,35,110.8833,112,1,0,200
295,1,1,0,17.0,0,2,35,110.8833,24,1,12,200
296,1,1,1,39.0,1,1,35,110.8833,112,1,5,200
297,1,1,1,0.0,0,0,137,79.2,0,1,6,33
298,1,1,0,31.0,0,0,85,28.5375,55,1,15,77
299,1,0,0,40.0,0,0,770,27.7208,0,1,0,32
300,1,0,0,61.0,0,0,266,33.5,174,3,0,116
301,1,0,0,47.0,0,0,51,34.0208,57,3,0,127
302,1,1,1,35.0,0,0,4,512.3292,0,1,4,0
303,1,0,0,64.0,1,0,501,75.25,175,1,0,244
304,1,1,1,60.0,1,0,501,75.25,175,1,23,244
305,1,0,0,60.0,0,0,544,26.55,0,3,0,324
306,1,0,0,54.0,0,1,895,77.2875,91,3,0,173
307,1,0,0,21.0,0,1,895,77.2875,91,3,0,173
308,1,1,1,55.0,0,0,673,135.6333,84,1,13,296
309,1,1,1,31.0,0,2,808,164.8667,74,3,13,178
310,1,0,0,57.0,1,1,808,164.8667,0,3,0,178
311,1,1,1,45.0,1,1,808,164.8667,0,3,13,178
312,1,0,0,50.0,1,1,600,211.5,137,1,0,294
313,1,0,0,27.0,0,2,600,211.5,63,1,0,294
314,1,1,1,50.0,1,1,600,211.5,137,1,5,294
315,1,1,1,21.0,0,0,105,26.55,0,3,27,282
316,1,0,0,51.0,0,1,154,61.3792,0,1,0,5
317,1,1,0,21.0,0,1,154,61.3792,0,1,25,5
318,1,0,0,0.0,0,0,125,35.0,82,3,0,51
319,1,1,1,31.0,0,0,657,134.5,131,1,4,0
320,1,1,0,0.0,0,0,919,35.5,115,3,6,51
321,1,0,0,62.0,0,0,803,26.55,0,3,0,338
322,1,1,1,36.0,0,0,673,135.6333,84,1,13,23
323,2,0,0,30.0,1,0,588,24.0,0,1,0,346
324,2,1,1,28.0,1,0,588,24.0,0,1,17,346
325,2,0,0,30.0,0,0,32,13.0,0,3,0,262
326,2,0,0,18.0,0,0,114,11.5,0,3,0,134
327,2,0,0,25.0,0,0,435,10.5,0,3,0,90
328,2,0,0,34.0,1,0,192,26.0,0,3,0,75
329,2,1,1,36.0,1,0,192,26.0,0,3,21,75
330,2,0,0,57.0,0,0,473,13.0,0,3,0,361
331,2,0,0,18.0,0,0,759,11.5,0,3,0,348
332,2,0,0,23.0,0,0,328,10.5,0,3,0,109
333,2,1,1,36.0,0,0,686,13.0,65,3,17,80
334,2,0,0,28.0,0,0,392,10.5,0,3,0,70
335,2,0,0,51.0,0,0,65,12.525,0,3,0,215
336,2,1,0,32.0,1,0,250,26.0,0,3,11,3
337,2,1,1,19.0,1,0,250,26.0,0,3,11,3
338,2,0,0,28.0,0,0,194,26.0,0,3,0,369
339,2,1,0,1.0,2,1,758,39.0,182,3,21,17
340,2,1,1,4.0,2,1,758,39.0,182,3,21,17
341,2,1,1,12.0,2,1,758,39.0,182,3,11,17
342,2,1,1,36.0,0,3,758,39.0,182,3,21,17
343,2,1,0,34.0,0,0,898,13.0,129,3,11,237
344,2,1,1,19.0,0,0,449,13.0,0,3,24,162
345,2,0,0,23.0,0,0,724,13.0,0,3,0,186
346,2,0,0,26.0,0,0,186,13.0,0,3,0,137
347,2,0,0,42.0,0,0,376,13.0,0,3,0,237
348,2,0,0,27.0,0,0,183,13.0,0,3,0,263
349,2,1,1,24.0,0,0,45,13.0,17,3,21,343
350,2,1,1,15.0,0,2,299,39.0,0,3,2,13
351,2,0,0,60.0,1,1,299,39.0,0,3,0,13
352,2,1,1,40.0,1,1,299,39.0,0,3,2,13
353,2,1,1,20.0,1,0,29,26.0,0,3,24,145
354,2,0,0,25.0,1,0,29,26.0,0,3,0,145
355,2,1,1,36.0,0,0,508,13.0,0,3,8,239
356,2,0,0,25.0,0,0,627,13.0,0,3,0,83
357,2,0,0,42.0,0,0,197,13.0,0,3,0,237
358,2,1,1,42.0,0,0,903,13.0,0,3,0,33
359,2,1,0,0.8333,0,2,877,29.0,0,3,11,123
360,2,1,0,26.0,1,1,877,29.0,0,3,11,123
361,2,1,1,22.0,1,1,877,29.0,0,3,11,123
362,2,1,1,35.0,0,0,179,21.0,0,3,2,273
363,2,0,0,0.0,0,0,87,0.0,0,3,0,299
364,2,0,0,19.0,0,0,301,13.0,0,3,0,186
365,2,0,1,44.0,1,0,86,26.0,0,3,0,237
366,2,0,0,54.0,1,0,86,26.0,0,3,0,237
367,2,0,0,52.0,0,0,922,13.5,0,3,0,86
368,2,0,0,37.0,1,0,69,26.0,0,3,0,26
369,2,0,1,29.0,1,0,69,26.0,0,3,0,26
370,2,1,1,25.0,1,1,678,30.0,0,3,24,237
371,2,1,1,45.0,0,2,678,30.0,0,3,24,237
372,2,0,0,29.0,1,0,102,26.0,0,3,0,366
373,2,1,1,28.0,1,0,102,26.0,0,3,2,366
374,2,0,0,29.0,0,0,1,10.5,0,3,0,101
375,2,0,0,28.0,0,0,824,13.0,0,3,0,111
376,2,1,0,24.0,0,0,616,10.5,0,3,8,363
377,2,1,1,8.0,0,2,565,26.25,0,3,2,320
378,2,0,0,31.0,1,1,565,26.25,0,3,0,320
379,2,1,1,31.0,1,1,565,26.25,0,3,2,320
380,2,1,1,22.0,0,0,139,10.5,17,3,2,214
381,2,0,1,30.0,0,0,907,13.0,0,3,0,31
382,2,0,1,0.0,0,0,546,21.0,0,3,0,42
383,2,0,0,21.0,0,0,804,11.5,0,3,0,348
384,2,0,0,0.0,0,0,87,0.0,0,3,0,299
385,2,1,0,8.0,1,1,211,36.75,0,3,2,122
386,2,0,0,18.0,0,0,153,73.5,0,3,0,330
387,2,1,1,48.0,0,2,211,36.75,0,3,2,122
388,2,1,1,28.0,0,0,300,13.0,0,3,11,209
389,2,0,0,32.0,0,0,542,13.0,0,3,0,119
390,2,0,0,17.0,0,0,153,73.5,0,3,0,0
391,2,0,0,29.0,1,0,264,27.7208,0,1,0,341
392,2,1,1,24.0,1,0,264,27.7208,0,1,24,341
393,2,0,0,25.0,0,0,439,31.5,0,3,0,30
394,2,0,0,18.0,0,0,153,73.5,0,3,0,155
395,2,1,1,18.0,0,1,365,23.0,0,3,0,78
396,2,1,1,34.0,0,1,365,23.0,0,3,0,78
397,2,0,0,54.0,0,0,513,26.0,0,3,0,114
398,2,1,0,8.0,0,2,911,32.5,0,3,17,65
399,2,0,0,42.0,1,1,911,32.5,0,3,0,65
400,2,1,1,34.0,1,1,911,32.5,0,3,17,65
401,2,1,1,27.0,1,0,864,13.8583,0,1,24,63
402,2,1,1,30.0,1,0,529,13.8583,0,1,24,63
403,2,0,0,23.0,0,0,818,13.0,0,3,0,312
404,2,0,0,21.0,0,0,912,13.0,0,3,0,220
405,2,0,0,18.0,0,0,827,13.0,0,3,0,19
406,2,0,0,40.0,1,0,483,26.0,0,3,0,64
407,2,1,1,29.0,1,0,483,26.0,0,3,1,0
408,2,0,0,18.0,0,0,669,10.5,0,3,0,277
409,2,0,0,36.0,0,0,928,13.0,0,3,0,162
410,2,0,0,0.0,0,0,349,0.0,0,3,0,299
411,2,0,1,38.0,0,0,762,13.0,0,3,0,113
412,2,0,0,35.0,0,0,738,26.0,0,3,0,4
413,2,0,0,38.0,1,0,465,21.0,0,3,0,158
414,2,0,0,34.0,1,0,465,21.0,0,3,0,158
415,2,1,1,34.0,0,0,480,13.0,0,3,24,116
416,2,0,0,16.0,0,0,738,26.0,0,3,0,4
417,2,0,0,26.0,0,0,168,10.5,0,3,0,30
418,2,0,0,47.0,0,0,712,10.5,0,3,0,40
419,2,0,0,21.0,1,0,749,11.5,0,3,0,300
420,2,0,0,21.0,1,0,750,11.5,0,3,0,300
421,2,0,0,24.0,0,0,639,13.5,0,3,0,166
422,2,0,0,24.0,0,0,570,13.0,0,3,0,126
423,2,0,0,34.0,0,0,284,13.0,0,3,0,329
424,2,0,0,30.0,0,0,457,13.0,0,3,0,0
425,2,0,0,52.0,0,0,481,13.0,0,3,0,86
426,2,0,0,30.0,0,0,535,13.0,0,3,0,181
427,2,1,0,0.6667,1,1,21,14.5,0,3,5,223
428,2,1,1,24.0,0,2,21,14.5,0,3,5,223
429,2,0,0,44.0,0,0,92,13.0,0,3,0,59
430,2,1,1,6.0,0,1,295,33.0,0,3,21,323
431,2,0,0,28.0,0,1,295,33.0,0,3,0,323
432,2,1,0,62.0,0,0,89,10.5,0,3,3,237
433,2,0,0,30.0,0,0,583,10.5,0,3,0,73
434,2,1,1,7.0,0,2,214,26.25,0,3,2,142
435,2,0,0,43.0,1,1,214,26.25,0,3,0,142
436,2,1,1,45.0,1,1,214,26.25,0,3,2,142
437,2,1,1,24.0,1,2,193,65.0,0,3,8,254
438,2,1,1,24.0,1,2,193,65.0,0,3,8,254
439,2,0,0,49.0,1,2,193,65.0,0,3,0,254
440,2,1,1,48.0,1,2,193,65.0,0,3,8,254
441,2,1,1,55.0,0,0,887,16.0,0,3,11,216
442,2,0,0,24.0,2,0,153,73.5,0,3,0,135
443,2,0,0,32.0,2,0,153,73.5,0,3,0,135
444,2,0,0,21.0,2,0,153,73.5,0,3,0,135
445,2,0,1,18.0,1,1,57,13.0,0,3,0,240
446,2,1,1,20.0,2,1,534,23.0,0,3,5,236
447,2,0,0,23.0,2,1,238,11.5,0,3,0,236
448,2,0,0,36.0,0,0,161,13.0,0,3,0,261
449,2,1,1,54.0,1,3,534,23.0,0,3,5,236
450,2,0,0,50.0,0,0,387,13.0,0,3,0,78
451,2,0,0,44.0,1,0,169,26.0,0,3,0,334
452,2,1,1,29.0,1,0,169,26.0,0,3,17,334
453,2,0,0,21.0,0,0,153,73.5,0,3,0,155
454,2,1,0,42.0,0,0,246,13.0,0,3,17,102
455,2,0,0,63.0,1,0,660,26.0,0,3,0,267
456,2,0,1,60.0,1,0,660,26.0,0,3,0,267
457,2,0,0,33.0,0,0,445,12.275,0,3,0,303
458,2,1,1,17.0,0,0,419,10.5,0,3,0,109
